id,firstName,lastName,userName,email,password,bio,pronouns,preferredGenres,privateAccount
4,Sofia,Hughes,sofghughes,shughes@gmail.com,sofghughespw,Hey!,she;her,Fantasy;Romance,
5,firstever,user socool,socoolguy,this@fake.com,socoolguypw,Hi!,he;him,Romance;Fiction,
6,Vidya,Madana,vidya,vidya@fake.com,vidyapw,Hello!,she;her,Science-Fiction;Drama,
7,Kathleen,Lowe,katkit,katkit@fake.com,katkitpw,hiya,she;her,Mystery;Non-Fiction,
8,Ben,Herrington,theben,theben@fake.com,thebenpw,how are you,he;him,Drama;Thriller,
9,Brayden,Reimann,breimann,breimann@fake.com,breimannpw,bio,he;him,Horror;Historical,
10,Domino,Pizza,pizzafan,pizzafan@fake.com,pizzafanpw,I love reading and science,he;him,Fiction;Romance;Drama;Science-Fiction,
11,Pizza,Box,pepperoni,pepperoni@fake.com,pepperonipw,No bio provided,they;them,Poetry;Young Adult,
12,Reader,Number 1,litclublover,litclublover@fake.com,litclubloverpw,No bio provided,she;her,True Crime;Memoir,
13,Whale,Shark,whaleguy,whaleguy@fake.com,whaleguypw,No bio provided,he;him,Historical;Poetry,
14,Crow,fella,crowfella,crowfella@fake.com,crowfellapw,No bio provided,she;her,Romance;Mystery,
15,Kitty,Cat,justacat,justacat@fake.com,justacatpw,No bio provided,she;her,Horror;Poetry,
16,Magician,Dude,foreveralone,foreveralone@fake.com,foreveralonepw,No bio provided,he;him,Memoir;Romance,
17,barbie,doll,barbiegirl,barbiegirl@fake.com,barbiegirlpw,No bio provided,she;her,Young Adult;Biography,
18,just,ken,justken,justken@fake.com,justkenpw,No bio provided,he;him,Science;Western Fiction,
19,Star,Celestial,starrynight,starrynight@fake.com,starrynightpw,No bio provided,they;them,Romance,
20,Dino,Luvr,t-rex,t-rex@fake.com,t-rexpw,No bio provided,she;her,Drama;Thriller,
21,Weevil,Fan,bugfan,bugfan@fake.com,bugfanpw,No bio provided,she;her,Mystery,
22,Alyssa,Collins,alyssa,alyssa@fake.com,alyssapw,No bio provided,she;her,Poetry;Science Fiction,
